"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",48,23501,33500,"gamma",0.0700000000069849,0.00099999998928979,34668.6660915213,13674.1418778734,70.0000007566996,"shape",420.796384206854,406.487296897638,"rate",2.64367141932308,2.54977392631116,7.20149240111376,TRUE,TRUE
"MIMIC-III",49,24001,34000,"normal",0.00800000000162981,0.00099999998928979,34627.4943866335,13625.5177925386,8.00000008731149,"mu",158.703499240359,158.948632628588,"sigma",7.71997231955676,7.87169672842863,0.198428898550376,TRUE,TRUE
"MIMIC-III",49,24001,34000,"gamma",0.0549999999930151,0.00100000001839362,34714.3353146105,13700.1720166073,54.999998981366,"shape",414.532971185264,401.755124333331,"rate",2.61199424263818,2.52757734072844,6.43113187692132,TRUE,TRUE
"MIMIC-III",50,24501,34500,"normal",0.00800000000162981,0,34570.617264259,13555.030490267,NA,"mu",158.451799461714,158.672888696322,"sigma",7.67618888324325,7.81008754395376,0.177493947659016,TRUE,TRUE
"MIMIC-III",50,24501,34500,"gamma",0.0690000000176951,0.00099999998928979,34646.2827333653,13620.9365299991,69.0000007566996,"shape",418.863898852523,407.29662397905,"rate",2.64347885955672,2.56690143632327,5.82192614835309,TRUE,TRUE
"MIMIC-III",51,25001,35000,"normal",0.00699999998323619,0.00100000001839362,34627.3229014287,13608.2574536266,6.99999985448085,"mu",158.227520254219,158.441579576863,"sigma",7.71984057567354,7.85499883840249,0.174608792686801,TRUE,TRUE
"MIMIC-III",51,25001,35000,"gamma",0.0650000000023283,0.00200000000768341,34690.3724084787,13663.1619516012,32.4999998763087,"shape",414.003944877731,402.220451167491,"rate",2.61650934928058,2.53860339436412,5.93069983257801,TRUE,TRUE
"MIMIC-III",52,25501,35500,"normal",0.00800000000162981,0.00099999998928979,34422.001009547,13445.4268649755,8.00000008731149,"mu",157.746899922732,157.972602143722,"sigma",7.56295223058685,7.71464051909988,0.188695254751174,TRUE,TRUE
"MIMIC-III",52,25501,35500,"gamma",0.0559999999823049,0.00200000000768341,34469.7187413428,13489.4592346246,27.9999998835847,"shape",430.063920387392,415.327882525823,"rate",2.72628996384084,2.62911695360318,7.41660543590359,TRUE,TRUE
"MIMIC-III",53,26001,36000,"normal",0.00699999998323619,0.00100000001839362,34440.4562503987,13453.4820234599,6.99999985448085,"mu",157.620210706625,157.81031507294,"sigma",7.57692291554814,7.72124656337144,0.167214007069327,TRUE,TRUE
"MIMIC-III",53,26001,36000,"gamma",0.0609999999869615,0.00200000000768341,34483.9359799906,13493.794849795,30.4999998763087,"shape",428.155675704695,414.050563249445,"rate",2.71637508735269,2.62372659813508,7.09888047223359,TRUE,TRUE
"MIMIC-III",54,26501,36500,"normal",0.00700000001234002,0.00099999998928979,34270.948530643,13240.0375431332,7.00000008731149,"mu",157.469910730016,157.63804289467,"sigma",7.44956932426738,7.54124527838932,0.129904059387981,TRUE,TRUE
"MIMIC-III",54,26501,36500,"gamma",0.0620000000053551,0.00200000000768341,34314.5514399494,13282.4935285025,30.9999998835847,"shape",442.129493423807,433.088738071232,"rate",2.80770858559559,2.74736820111868,4.55054786852597,TRUE,TRUE
"MIMIC-III",55,27001,37000,"normal",0.00700000001234002,0.00099999998928979,34198.0255141579,13176.8061000963,7.00000008731149,"mu",157.40090115387,157.574323684936,"sigma",7.3954437223101,7.488129090863,0.133053949809282,TRUE,TRUE
"MIMIC-III",55,27001,37000,"gamma",0.0590000000083819,0.00099999998928979,34236.9647844356,13216.5954389569,59.0000006402843,"shape",448.614817541762,439.053678323578,"rate",2.85014106818067,2.78633440384394,4.81247294126042,TRUE,TRUE
